web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972192-296","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 25, 2024","7,350.00","7,350.00","7,050.00","7,200.00","6,541.86","192,197,100"
"1765972192-297","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 24, 2024","7,400.00","7,475.00","7,375.00","7,425.00","6,746.29","81,817,100"
"1765972192-298","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 23, 2024","7,325.00","7,450.00","7,300.00","7,450.00","6,769.00","79,675,600"
"1765972192-299","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 20, 2024","7,400.00","7,425.00","7,300.00","7,300.00","6,632.72","97,901,700"
"1765972192-300","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 19, 2024","7,450.00","7,550.00","7,400.00","7,400.00","6,723.58","124,377,800"
"1765972192-301","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 18, 2024","7,375.00","7,450.00","7,350.00","7,400.00","6,723.58","47,279,200"
"1765972192-302","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 17, 2024","7,325.00","7,450.00","7,300.00","7,425.00","6,746.29","96,428,000"
"1765972192-303","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 13, 2024","7,300.00","7,300.00","7,225.00","7,275.00","6,610.00","45,854,000"
"1765972192-304","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 12, 2024","7,375.00","7,425.00","7,300.00","7,300.00","6,632.72","68,254,300"
"1765972192-305","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 11, 2024","7,300.00","7,400.00","7,275.00","7,375.00","6,700.86","91,822,300"
"1765972192-306","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 10, 2024","7,250.00","7,275.00","7,225.00","7,250.00","6,587.29","73,515,700"
"1765972192-307","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 9, 2024","7,250.00","7,250.00","7,200.00","7,250.00","6,587.29","71,430,300"
"1765972192-308","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 6, 2024","7,175.00","7,275.00","7,150.00","7,250.00","6,587.29","63,619,300"
"1765972192-309","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 5, 2024","7,125.00","7,225.00","7,125.00","7,175.00","6,519.14","59,432,000"
"1765972192-310","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 4, 2024","7,000.00","7,175.00","7,000.00","7,175.00","6,519.14","78,789,800"
"1765972192-311","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 3, 2024","7,200.00","7,250.00","7,050.00","7,075.00","6,428.28","75,100,800"
"1765972192-312","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 2, 2024","7,200.00","7,275.00","7,125.00","7,200.00","6,541.86","82,176,000"
"1765972192-313","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 30, 2024","7,100.00","7,175.00","7,075.00","7,125.00","6,473.71","153,760,500"
"1765972192-314","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 29, 2024","7,300.00","7,300.00","7,100.00","7,100.00","6,451.00","94,475,900"
"1765972192-315","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 28, 2024","7,025.00","7,225.00","7,000.00","7,225.00","6,564.57","114,606,200"
"1765972192-316","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 27, 2024","7,025.00","7,050.00","6,925.00","7,025.00","6,382.85","91,686,700"
"1765972192-317","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 26, 2024","7,050.00","7,100.00","7,000.00","7,050.00","6,405.57","78,515,400"
"1765972192-318","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 23, 2024","7,000.00","7,075.00","6,975.00","7,050.00","6,405.57","111,752,100"
"1765972192-319","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 22, 2024","7,150.00","7,175.00","6,925.00","7,050.00","6,405.57","157,323,000"
"1765972192-320","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 21, 2024","7,300.00","7,300.00","7,225.00","7,250.00","6,587.29","88,487,800"
"1765972192-321","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 20, 2024","7,200.00","7,350.00","7,150.00","7,200.00","6,541.86","102,615,900"
"1765972192-322","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 19, 2024","7,075.00","7,150.00","7,025.00","7,150.00","6,496.43","50,246,100"
"1765972192-323","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 16, 2024","7,075.00","7,125.00","7,025.00","7,075.00","6,428.28","64,266,400"
"1765972192-324","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Aug 15, 2024","7,075.00","7,075.00","6,925.00","7,025.00","6,382.85","75,955,500"
