web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1766321157-141","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 6, 2025","2,900.00","3,000.00","2,890.00","3,000.00","2,976.91","56,928,000"
"1766321157-142","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 5, 2025","2,850.00","2,900.00","2,840.00","2,890.00","2,867.76","28,065,700"
"1766321157-143","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 2, 2025","2,820.00","2,880.00","2,810.00","2,850.00","2,828.07","27,955,900"
"1766321157-144","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 30, 2025","2,860.00","2,870.00","2,820.00","2,850.00","2,828.07","18,107,900"
"1766321157-145","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 29, 2025","2,850.00","2,860.00","2,830.00","2,850.00","2,828.07","19,868,400"
"1766321157-146","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 28, 2025","2,820.00","2,880.00","2,820.00","2,850.00","2,828.07","21,203,400"
"1766321157-147","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 25, 2025","2,800.00","2,820.00","2,770.00","2,810.00","2,788.37","16,109,500"
"1766321157-148","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 24, 2025","2,810.00","2,900.00","2,760.00","2,760.00","2,738.76","34,189,600"
"1766321157-149","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 23, 2025","2,730.00","2,820.00","2,730.00","2,790.00","2,768.53","39,806,000"
"1766321157-150","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 22, 2025","2,710.00","2,730.00","2,690.00","2,720.00","2,699.07","40,967,300"
"1766321157-151","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 21, 2025","2,580.00","2,740.00","2,550.00","2,690.00","2,669.30","53,919,500"
"1766321157-152","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 17, 2025","2,470.00","2,590.00","2,430.00","2,570.00","2,550.22","42,632,900"
"1766321157-153","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 16, 2025","2,500.00","2,510.00","2,440.00","2,460.00","2,441.07","27,625,900"
"1766321157-154","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 15, 2025","2,490.00","2,520.00","2,430.00","2,480.00","2,460.91","31,252,500"
"1766321157-155","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 14, 2025","2,290.00","2,480.00","2,290.00","2,480.00","2,460.91","49,937,200"
"1766321157-156","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 11, 2025","2,260.00","2,300.00","2,220.00","2,270.00","2,252.53","17,714,600"
"1766321157-157","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 10, 2025","2,330.00","2,370.00","2,220.00","2,280.00","2,262.45","45,080,500"
"1766321157-158","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 9, 2025","2,040.00","2,190.00","2,030.00","2,170.00","2,153.30","53,765,300"
"1766321157-159","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Apr 8, 2025","2,050.00","2,180.00","2,000.00","2,080.00","2,063.99","100,834,400"
"1766321157-160","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 27, 2025","2,400.00","2,400.00","2,290.00","2,340.00","2,321.99","38,351,500"
