web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972550-114","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 9, 2025","3,960.00","4,000.00","3,950.00","4,000.00","4,000.00","27,904,300"
"1765972550-115","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 8, 2025","3,980.00","4,020.00","3,950.00","3,970.00","3,970.00","27,867,600"
"1765972550-116","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 7, 2025","4,000.00","4,010.00","3,930.00","4,000.00","4,000.00","28,005,400"
"1765972550-117","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 4, 2025","3,970.00","4,010.00","3,950.00","4,000.00","4,000.00","30,396,500"
"1765972550-118","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 3, 2025","4,010.00","4,060.00","3,970.00","3,970.00","3,970.00","49,947,500"
"1765972550-119","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 2, 2025","4,010.00","4,040.00","3,970.00","4,020.00","4,020.00","31,192,900"
"1765972550-120","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 1, 2025","4,120.00","4,130.00","4,000.00","4,010.00","4,010.00","55,711,200"
"1765972550-121","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 30, 2025","4,130.00","4,130.00","4,050.00","4,120.00","4,120.00","53,732,100"
"1765972550-122","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 26, 2025","4,110.00","4,120.00","4,050.00","4,120.00","4,120.00","31,912,200"
"1765972550-123","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 25, 2025","4,200.00","4,200.00","4,060.00","4,110.00","4,110.00","33,883,900"
